E[eV] flux[TeVcm^-2s^-1]-deabs dflux_low[TeVcm^-2s^-1] dflux_high[TeVcm^-2s^-1]
0.000153032 6.99043e-13 3.2562e-14 3.2562e-14
1.01705 2.10364e-11 9.68761e-14 9.68761e-14
1.01705 1.66024e-11 1.52914e-14 1.52914e-14
0.761227 2.11454e-11 1.86966e-12 1.86966e-12
0.761227 1.88459e-11 3.47154e-14 3.47154e-14
0.566575 1.77191e-11 4.73277e-13 4.73277e-13
2.87689 1.57645e-11 1.0131e-13 1.01966e-13
2.24627 1.5805e-11 1.01571e-13 1.02228e-13
1.90175 1.68016e-11 1.54038e-13 1.55464e-13
0.993543 1.76775e-11 1.62068e-13 1.63567e-13
0.566183 3.06088e-11 2.52677e-13 2.5478e-13
1.01746 1.81106e-11 4.33206e-13 4.33206e-13
1.01746 1.79611e-11 6.11396e-13 6.11396e-13
0.761024 1.69365e-11 5.60938e-13 5.60938e-13
0.761024 1.80811e-11 6.82019e-13 6.82019e-13
0.566632 1.86909e-11 8.59783e-13 8.59783e-13
0.566632 1.86222e-11 5.48237e-13 5.48237e-13
1.93565 1.10888e-11 1.73611e-13 1.73611e-13
1.93565 1.54914e-11 2.28269e-13 2.28269e-13
2.28719 1.65687e-11 5.25596e-13 5.82262e-13
2.85176 1.7918e-11 4.07864e-13 3.75194e-13
3.57785 1.8505e-11 4.62817e-13 4.31037e-13
4.79814 1.70329e-11 3.87717e-13 3.96748e-13
5.51957 1.67606e-11 4.19189e-13 3.90405e-13
6.02623 1.55342e-11 3.53602e-13 3.61839e-13
435 1.76867e-12 5.6252e-13 5.6252e-13
680 2.23289e-12 3.91068e-13 3.91068e-13
885 2.10229e-12 2.68017e-13 2.68017e-13
1095 1.77311e-12 2.2218e-13 2.2218e-13
1320 2.13266e-12 2.31034e-13 2.31034e-13
1600 2.07225e-12 2.61614e-13 2.61614e-13
1995 2.80442e-12 3.70419e-13 3.70419e-13
2665 2.92998e-12 5.29552e-13 5.29552e-13
3925 3.00231e-12 6.57167e-13 6.57167e-13
1.36673e+08 3.38927e-10 5.28275e-11 5.28275e-11
3.04365e+08 4.30519e-10 6.1813e-11 6.1813e-11
6.77807e+08 4.28777e-10 7.49836e-11 7.49836e-11
1.50945e+09 1.54187e-10 6.24507e-11 6.24507e-11
3.36148e+09 1.90394e-10 9.50969e-11 9.50969e-11
7.48588e+09 2.13595e-10 1.50767e-10 1.50767e-10
88.1107e9 2.33609e-11 9.42961e-12 9.42961e-12
122.421e9  5.70499e-12 2.48308e-12 2.48308e-12
169.735e9  5.59759e-12 1.82241e-12 1.82241e-12
