Gamma, n(Gamma)
1165.254165774171, 0.0032168246050475295
2819.580522630553, 0.0006228718634185023
7179.406780725327, 0.00011376609933692025
25462.676887933743, 0.00001089985595955811
110733.86097777865, 7.347132835968068e-7
146572.21822494778, 4.334208810611847e-7
170793.88787338213, 3.3294826968559296e-7
209427.2597948413, 2.2742881658360775e-7
258990.67817240974, 1.5084850700355927e-7
323016.7864751649, 9.432847718411144e-8
423941.83282350795, 5.2450113005636266e-8
551692.9281045953, 2.9161020953423014e-8
755490.1080082777, 1.359001054557453e-8
942257.8010323413, 7.777858939472207e-9
1215824.3827893988, 3.957377794431478e-9
1453321.249672959, 2.4732771141707287e-9
