#log10(eta/eta_0)   log10(H)
0.0820784434 -2.9831468563
0.0882372822 -2.9025693100
0.1000934695 -2.7221963458
0.1071604694 -2.6457323637
0.1190748651 -2.4835486412
0.1260925005 -2.4093780083
0.1408223003 -2.2368645508
0.1492505061 -2.1641720528
0.1650380106 -1.9922505186
0.1745246062 -1.9217368834
0.1934842050 -1.7492291626
0.2040280273 -1.6782002835
0.2229893789 -1.5097521753
0.2345889458 -1.4347758345
0.2546091335 -1.2695399449
0.2662091785 -1.1956707713
0.2883418754 -1.0249019146
0.2999435458 -0.9547971090
0.3305419436 -0.7981745585
0.3463749040 -0.7315287963
0.3843751805 -0.5742924051
0.4012680453 -0.5133332921
0.4477282729 -0.3569263677
0.4719126021 -0.2848946182
0.5428653716 -0.2797550495
0.5724832308 -0.3012572137
0.6549851917 -0.3497324067
0.6856630849 -0.3772211961
0.7692232258 -0.4273889905
0.7977895545 -0.4625987200
0.8686859655 -0.5721936319
0.8940828399 -0.6141035707
0.9575858086 -0.7438511862
0.9808694620 -0.7896456433
1.0443670553 -0.9069437800
1.0697657782 -0.9531347649
1.1311548673 -1.0852414684
1.1544405058 -1.1356333050
1.2094848270 -1.2675702628
1.2306562427 -1.3195262983
1.2867623371 -1.4614778606
1.3089907034 -1.5122794965
1.3703770213 -1.6379681459
1.3936612575 -1.6851122924
1.4550485953 -1.8131628981
1.4783330410 -1.8607920892
1.5397209342 -1.9901291177
1.5630057805 -2.0386862202
1.6212202865 -2.1656148120
1.6445073660 -2.2193439665
1.7006097111 -2.3526121756
1.7238968520 -2.4064836801
1.7810560755 -2.5384299951
1.8043418414 -2.5891170763
1.8614996990 -2.7179000568
1.8858426586 -2.7679954469
1.9461719104 -2.8945710318
1.9705128542 -2.9399978674
1.9969717570 -2.9925134405
