#log10(x)   log10(x*phi)
-3.8274755116 -20.9874933890
-3.7811991018 -20.9383668084
-3.7349226920 -20.8906073201
-3.6907497554 -20.8525554742
-3.6465768187 -20.8053315525
-3.6045073553 -20.7640877538
-3.5624378918 -20.7229599131
-3.5182649552 -20.6783077756
-3.4782989649 -20.6347854404
-3.4362295014 -20.5916085636
-3.3899530916 -20.5475940475
-3.3457801550 -20.5080233580
-3.3058141647 -20.4625660219
-3.2637447012 -20.4232911438
-3.2174682914 -20.3749011335
-3.1711918816 -20.3337135390
-3.1270189450 -20.2900136183
-3.0828460084 -20.2417753593
-3.0386730717 -20.2010740787
-2.9987070814 -20.1588880221
-2.9595824804 -20.1215497719
-2.9187751009 -20.0768871330
-2.8710963756 -20.0358462610
-2.8304292276 -19.9872059943
-2.7841528178 -19.9437838405
-2.7399798811 -19.8984297426
-2.7003963405 -19.8623440070
-2.6579444274 -19.8183161794
-2.6158749639 -19.7772828505
-2.5738055005 -19.7362810256
-2.5275290907 -19.6926932174
-2.4854596272 -19.6440322439
-2.4433901637 -19.6060352710
-2.4055276466 -19.5636691639
-2.3618401269 -19.5239522526
-2.3171817734 -19.4789990701
-2.2709053636 -19.4305451646
-2.2246289537 -19.3858930271
-2.1804560171 -19.3421354232
-2.1362830805 -19.2958060351
-2.0930662680 -19.2521043395
-2.0479372072 -19.2046754205
-2.0035730457 -19.1675629237
-1.9611211326 -19.1264347872
-1.9196253436 -19.0808732071
-1.8775558802 -19.0381244384
-1.8333829435 -18.9945753816
-1.7871065337 -18.9484909253
-1.7408301239 -18.9020248723
-1.6966571873 -18.8583418129
-1.6566911970 -18.8170234697
-1.6167252067 -18.7764112283
-1.5746557433 -18.7359584293
-1.5304828066 -18.6901322164
-1.4842063968 -18.6433555614
-1.4413720340 -18.6042197147
-1.3958605235 -18.5557658092
-1.3537910601 -18.5157316819
-1.3132513953 -18.4806036850
-1.2738590795 -18.4395696166
-1.2275826697 -18.4067141414
-1.1813062599 -18.3785363318
-1.1350298501 -18.3503957944
-1.0887534403 -18.3300824263
-1.0424770305 -18.3153598935
-0.9962006207 -18.3082781688
-0.9499242109 -18.3099554194
-0.9036478010 -18.3274733698
-0.8594748644 -18.3634783488
-0.8174054009 -18.4158697997
-0.7900602497 -18.4775007714
-0.7637668350 -18.5252578193
-0.7521977326 -18.5762655384
-0.7362875727 -18.6262702351
-0.7216973716 -18.6708205396
-0.7096694564 -18.7188850834
-0.7038178496 -18.7705004731
-0.6975074301 -18.8144723923
-0.6840452018 -18.8678536873
-0.6743692252 -18.9309108544
-0.6638518593 -18.9881050990
-0.6568402821 -19.0375094465
-0.6533344934 -19.0800463847
-0.6495482417 -19.1408280820
-0.6484263894 -19.1939907131
-0.6393113390 -19.2442150498
-0.6333514983 -19.2886311298
-0.6301962885 -19.3388554665
-0.6251479529 -19.3987146759
-0.6207306593 -19.4613413488
-0.6121665185 -19.5190773719
-0.6091615568 -19.5780189744
-0.6042534527 -19.6331404686
-0.6057959997 -19.7062106146
-0.5999062749 -19.7713997536
-0.6007476641 -19.8315322928
-0.5986441909 -19.8738983999
-0.5986441909 -19.9189978042
-0.5965407178 -19.9616372411
-0.5979430332 -20.0091966129
-0.5911864224 -20.0770320806
-0.5875177643 -20.1263013163
-0.5839198787 -20.1882275817
-0.5839198787 -20.2333269861
-0.5839198787 -20.2777430661
-0.5797129324 -20.3358256323
-0.5797129324 -20.3809250366
-0.5807646690 -20.4284160761
-0.5755059860 -20.4861569801
-0.5755059860 -20.5312563845
-0.5755059860 -20.5763557888
-0.5688950704 -20.9920122038
-0.5712990397 -20.6364883279
-0.5712990397 -20.6815877323
-0.5712990397 -20.7266871366
-0.5712990397 -20.7717865410
-0.5712990397 -20.8168859453
-0.5691955665 -20.8701852414
-0.5691955665 -20.9152846457
-0.5712990397 -20.9521841584
