#log10(x)   log10(x*phi)
-3.9853805362 -20.7333880889
-3.9426662620 -20.6913894489
-3.8999566854 -20.6456022038
-3.8552044507 -20.6047872290
-3.8124952705 -20.5586802449
-3.7738501227 -20.5197940777
-3.7331690690 -20.4804345636
-3.6884231926 -20.4344916997
-3.6457093447 -20.3921491895
-3.6029953398 -20.3499333683
-3.5582481169 -20.3050764103
-3.5155341075 -20.2628642088
-3.4748548241 -20.2220769295
-3.4341756888 -20.1811702006
-3.3914640537 -20.1370431850
-3.3487492184 -20.0954970058
-3.3080714161 -20.0535152300
-3.2673901580 -20.0143206127
-3.2246779708 -19.9706388186
-3.1819647243 -19.9278112704
-3.1392504546 -19.8858090107
-3.0945025585 -19.8414950057
-3.0497544379 -19.7973619850
-3.0070432381 -19.7528838598
-2.9683983646 -19.7137764895
-2.9277162512 -19.6752716236
-2.8829681306 -19.6311386029
-2.8402548438 -19.5883436319
-2.7975415121 -19.5455848577
-2.7527950522 -19.5001125531
-2.7100796559 -19.4590188347
-2.6673669974 -19.4157171076
-2.6246547653 -19.3720715103
-2.5819412766 -19.3294394252
-2.5371929957 -19.2854356790
-2.4944779483 -19.2440606592
-2.4517679737 -19.1985943597
-2.4070188658 -19.1552576700
-2.3643066112 -19.1116301711
-2.3236275747 -19.0706438091
-2.2809135249 -19.0284641847
-2.2382009562 -18.9850900639
-2.1954864576 -18.9432724083
-2.1507387858 -18.8987774189
-2.1080267557 -18.8549689357
-2.0669411115 -18.8134253888
-2.0270745004 -18.7741904613
-1.9859859434 -18.7349960909
-1.9453059195 -18.6948060598
-1.9046271298 -18.6536206150
-1.8619136186 -18.6110066284
-1.8171634783 -18.5685024665
-1.7724135625 -18.5258173204
-1.7276611782 -18.4851230017
-1.6829052034 -18.4473244322
-1.6381442917 -18.4135075177
-1.5933793406 -18.3829483209
-1.5486101257 -18.3558278262
-1.5038330567 -18.3350417827
-1.4590508262 -18.3184183786
-1.4142627612 -18.3065005668
-1.3694612318 -18.3054418141
-1.3246532693 -18.3095712786
-1.2798379762 -18.3196128975
-1.2350117620 -18.3384624200
-1.1901701086 -18.3697636637
-1.1473588007 -18.4060226435
-1.1106512985 -18.4468568239
-1.0780072813 -18.4953532217
-1.0494380836 -18.5423706207
-1.0249455774 -18.5863993098
-1.0041137349 -18.6344793234
-0.9841055961 -18.6752149018
-0.9596105832 -18.7212652290
-0.9473277422 -18.7727876664
-0.9228158274 -18.8324693686
-0.9102463243 -18.8805517481
-0.8962154365 -18.9340755511
-0.8829274137 -18.9750614400
-0.8641897228 -19.0313873655
-0.8553062556 -19.0787006744
-0.8450639232 -19.1269844129
-0.8348216456 -19.1752239107
-0.8207862127 -19.2324133644
-0.8082090665 -19.2866599358
-0.8040780548 -19.3334579110
-0.7972344053 -19.3780897419
-0.7840017997 -19.4291292687
-0.7753850836 -19.4802987196
-0.7651347286 -19.5350526475
-0.7569262164 -19.5854918815
-0.7511544211 -19.6416366733
-0.7439797545 -19.7029584630
-0.7322657097 -19.7650129734
-0.7240401238 -19.8292220977
-0.7158114524 -19.8959197564
-0.7066855504 -19.9488480789
-0.6993950451 -19.9963005176
-0.6993407386 -20.0400987229
-0.6985977267 -20.0918606497
-0.6878012621 -20.1490702607
-0.6828414315 -20.2073381081
-0.6787034396 -20.2597657012
-0.6732151901 -20.3062216345
-0.6684197602 -20.3413958005
-0.6673385668 -20.3921625193
-0.6621950814 -20.4343047873
-0.6605008279 -20.4867751398
-0.6549356990 -20.5404865746
-0.6487657382 -20.5892655514
-0.6476808422 -20.6430185115
-0.6489788502 -20.6911293536
-0.6402570709 -20.7644633979
-0.6356317073 -20.8345432771
-0.6290401305 -20.8948693003
-0.6300016026 -20.9406577161
-0.6257333974 -20.9920236142
