#log10(x)   log10(x*phi)
-3.9823977448 -20.6770354788
-3.9392754815 -20.6364424473
-3.8961584467 -20.5916822788
-3.8530394513 -20.5484847866
-3.8099196074 -20.5059635403
-3.7668034211 -20.4605271259
-3.7257360382 -20.4207200018
-3.6846689076 -20.3807118315
-3.6415513683 -20.3363537552
-3.5984319945 -20.2934578321
-3.5573697071 -20.2495895771
-3.5163000035 -20.2116320769
-3.4731815240 -20.1680233541
-3.4280088750 -20.1230621395
-3.3828350795 -20.0790147707
-3.3397146967 -20.0369230320
-3.2986523588 -19.9930949862
-3.2575869940 -19.9516794934
-3.2165196111 -19.9118723693
-3.1754577777 -19.8676422313
-3.1323374408 -19.8255139388
-3.0912710334 -19.7849293204
-3.0502065123 -19.7428413531
-3.0070839295 -19.7025029799
-2.9660232565 -19.6573480300
-2.9229004887 -19.6171570906
-2.8777287571 -19.5714647994
-2.8325556495 -19.5268691231
-2.7873820832 -19.4826389851
-2.7442626177 -19.4398161698
-2.7032016420 -19.3949024751
-2.6621351672 -19.3543715851
-2.6190155412 -19.3116767081
-2.5738430298 -19.2666058320
-2.5286687756 -19.2229240016
-2.4855488514 -19.1804667245
-2.4444842433 -19.1384480935
-2.4034224100 -19.0942179555
-2.3603010869 -19.0528755704
-2.3151255944 -19.0101806934
-2.2720068856 -18.9667547398
-2.2288908828 -18.9211721101
-2.1837177752 -18.8765764338
-2.1405987775 -18.8333807693
-2.0995328072 -18.7924477871
-2.0564157266 -18.7477241724
-2.0112423438 -18.7033478191
-1.9701756998 -18.6629517721
-1.9291132193 -18.6192374494
-1.8839387358 -18.5757383881
-1.8387624177 -18.5337014801
-1.7956449702 -18.4892702961
-1.7525210558 -18.4499932025
-1.7073412979 -18.4106978320
-1.6621594761 -18.3730473840
-1.6169714626 -18.3403317035
-1.5717797800 -18.3105403296
-1.5265812177 -18.2862320306
-1.4813771517 -18.2663101916
-1.4361631103 -18.2543388113
-1.3909449410 -18.2456572760
-1.3457167963 -18.2449261993
-1.3004822306 -18.2493126593
-1.2552311537 -18.2668584991
-1.2099683814 -18.2937255664
-1.1667488629 -18.3306449377
-1.1235190250 -18.3757889215
-1.0864535712 -18.4234954036
-1.0596804731 -18.4608222756
-1.0328889536 -18.5128309821
-1.0102120098 -18.5625739313
-0.9901090378 -18.6090183684
-0.9652742530 -18.6581087954
-0.9509921950 -18.7116751304
-0.9308050789 -18.7666636271
-0.9091348521 -18.8333159878
-0.8960572571 -18.8788305868
-0.8802359143 -18.9264114928
-0.8684251627 -18.9765772770
-0.8575005118 -19.0227460735
-0.8465695545 -19.0739410222
-0.8331147825 -19.1235706835
-0.8223587751 -19.1757756493
-0.8115945274 -19.2345481205
-0.7981141696 -19.3045695986
-0.7885442704 -19.3633516434
-0.7781947276 -19.4193094694
-0.7702945667 -19.4737355158
-0.7581827700 -19.5297591605
-0.7494769779 -19.5864681170
-0.7488038253 -19.6314130855
-0.7405248637 -19.6756432234
-0.7312066174 -19.7289204351
-0.7229069350 -19.7896650726
-0.7128362525 -19.8574463229
-0.7069869130 -19.9158932909
-0.7031521685 -19.9682211183
-0.6979551847 -20.0139032557
-0.6917100174 -20.0757249258
-0.6871025222 -20.1431423785
-0.6779740547 -20.2090184779
-0.6708990993 -20.2767710073
-0.6687835328 -20.3243519133
-0.6656320451 -20.3782992785
-0.6587631809 -20.4456497159
-0.6510732313 -20.5119949228
-0.6513423018 -20.5706333632
-0.6448773435 -20.6515783451
-0.6415683175 -20.7140462348
-0.6373947824 -20.7633025247
-0.6336230873 -20.8199975198
-0.6290451898 -20.8638255655
-0.6241649244 -20.9301707725
-0.6206598735 -20.9928204081
