#log10(x)   log10(x*phi)
-3.9836415794 -19.3064332456
-3.9405161446 -19.2661082778
-3.8973961232 -19.2214742894
-3.8542733596 -19.1790230858
-3.8152589488 -19.1394822617
-3.7762430271 -19.1011440427
-3.7351749821 -19.0597163728
-3.6920518918 -19.0175252937
-3.6489306342 -18.9738752549
-3.6078602449 -18.9343136963
-3.5688473449 -18.8935702672
-3.5298321786 -18.8546307456
-3.4887650714 -18.8124566312
-3.4476950103 -18.7726338170
-3.4066290753 -18.7295266469
-3.3655569511 -18.6913460106
-3.3265425403 -18.6518051865
-3.2875284159 -18.6120362822
-3.2444072650 -18.5683014202
-3.2012826614 -18.5273148311
-3.1602154683 -18.4852091408
-3.1191463371 -18.4446461024
-3.0760214138 -18.4039139831
-3.0349521501 -18.3634564397
-2.9959358725 -18.3254015931
-2.9548647799 -18.2863998678
-2.9117418173 -18.2441070009
-2.8665604421 -18.2037311391
-2.8213807718 -18.1619981056
-2.7761993965 -18.1216222438
-2.7310171687 -18.0819249680
-2.6858351540 -18.0420580457
-2.6406497294 -18.0049054670
-2.5954645179 -17.9675832419
-2.5502754701 -17.9333146533
-2.5050862092 -17.8992157113
-2.4598943909 -17.8671525270
-2.4147017200 -17.8357679285
-2.3695073442 -17.8057405020
-2.3243112634 -17.7770702472
-2.2791140104 -17.7493330480
-2.2339127080 -17.7248191320
-2.1887112991 -17.7003900392
-2.1435058408 -17.6791842294
-2.0982995300 -17.6586570056
-2.0530910880 -17.6398262466
-2.0078817935 -17.6216740734
-1.9626680234 -17.6070844763
-1.9174516959 -17.5945306369
-1.8722321714 -17.5845214948
-1.8270109420 -17.5758695244
-1.7817865157 -17.5697622512
-1.7365620894 -17.5636549780
-1.6913334007 -17.5609406343
-1.6460993838 -17.5624674526
-1.6008653670 -17.5639942709
-1.5556270877 -17.5689140188
-1.5103841196 -17.5775659892
-1.4651373153 -17.5892715961
-1.4198864617 -17.6042004862
-1.3746330506 -17.6211651340
-1.3293763006 -17.6407875766
-1.2841141869 -17.6646794556
-1.2388476687 -17.6920773617
-1.1935783646 -17.7216927898
-1.1483044023 -17.7550162051
-1.1030241376 -17.7933563091
-1.0597990249 -17.8323749990
-1.0186257182 -17.8747357245
-0.9795028415 -17.9215336479
-0.9465555819 -17.9622791928
-0.9156633226 -18.0038239707
-0.8847666976 -18.0488439048
-0.8600505697 -18.0839267964
-0.8373836477 -18.1244214107
-0.8126592365 -18.1660978955
-0.7899916893 -18.2070901394
-0.7693812667 -18.2471907969
-0.7499348486 -18.2959322688
-0.7281522944 -18.3338612975
-0.7075389023 -18.3763256958
-0.6902067819 -18.4254251565
-0.6724725124 -18.4673193542
-0.6559665317 -18.5134434041
-0.6373958333 -18.5665031675
-0.6188294329 -18.6161417270
-0.6023333376 -18.6543970077
-0.5919853287 -18.7085142342
-0.5754728229 -18.7598322937
-0.5579155526 -18.8244930488
-0.5465441911 -18.8749091546
-0.5359174744 -18.9170807301
-0.5210591604 -18.9765122479
-0.5093516873 -19.0217099068
-0.4978463456 -19.0878531836
-0.4870120224 -19.1290237448
-0.4746207624 -19.1729893261
-0.4621068989 -19.2210283616
-0.4522949449 -19.2692806669
-0.4507176589 -19.3246419676
-0.4398402933 -19.3637058965
-0.4307405784 -19.4061288258
-0.4241040053 -19.4517863479
-0.4125270590 -19.5021900129
-0.4050645129 -19.5506902445
-0.4000733686 -19.5958501369
-0.3913649722 -19.6540994669
-0.3810186379 -19.7068837567
-0.3727160838 -19.7693984838
-0.3637391353 -19.8232046917
-0.3585969360 -19.8794990480
-0.3498997591 -19.9288177026
-0.3488967853 -19.9995522055
