#Eta/eta_0   s_nu   delta_nu   B_nu[cm3/s]
1.1 0.365 3.09 8.09e-19
1.2 0.287 2.96 7.70e-18
1.3 0.250 2.89 1.99e-17
1.4 0.238 2.76 3.62e-17
1.5 0.220 2.71 5.39e-17
1.6 0.206 2.67 7.39e-17
1.7 0.197 2.62 9.48e-17
1.8 0.193 2.56 1.20e-16
1.9 0.187 2.52 1.47e-16
2.0 0.178 2.51 1.74e-16
3.0 0.123 2.48 3.38e-16
4.0 0.106 2.56 5.17e-16
5.0 0.0944 2.57 7.61e-16
6.0 0.0829 2.58 9.57e-16
7.0 0.0801 2.54 1.11e-15
8.0 0.0752 2.53 1.25e-15
9.0 0.0680 2.56 1.36e-15
10.0 0.0615 2.60 1.46e-15
30.0 0.0361 2.78 5.87e-15
100.0 0.0228 2.88 3.10e-14
