#Eta/eta_0   s_gamma   delta_gamma   B_gamma[cm3/s]
1.1  0.367   3.12   8.09e-19
1.2  0.282   2.96   7.70e-18
1.3  0.260   2.83   2.05e-17
1.4  0.239   2.76   3.66e-17
1.5  0.224   2.69   5.48e-17
1.6  0.207   2.66   7.39e-17
1.7  0.198   2.62   9.52e-17
1.8  0.193   2.56   1.20e-16
1.9  0.187   2.52   1.47e-16
2.0  0.181   2.49   1.75e-16
3.0  0.122   2.48   3.31e-16
4.0  0.106   2.50   4.16e-16
5.0  0.0983  2.46   5.57e-16
6.0  0.0875  2.46   6.78e-16
7.0  0.0830  2.44   7.65e-16
8.0  0.0783  2.44   8.52e-16
9.0  0.0735  2.45   9.17e-16
10.0 0.0644  2.50   9.57e-16
30.0 0.0333  2.77   3.07e-15
100.0 0.0224 2.86   1.58e-14
