#Eta/eta_0   s_nu   delta_nu   B_nu[cm3/s]
1.1    0.0     0.0   1.08e-18
1.2   0.0778  0.306 9.91e-18
1.3   0.242   0.792 2.47e-17
1.4   0.377   1.09  4.43e-17
1.5   0.440   1.06  6.70e-17
1.6   0.450   0.953 9.04e-17
1.7   0.461   0.956 1.18e-16
1.8   0.451   0.922 1.32e-16
1.9   0.464   0.912 1.77e-16
2.0   0.446   0.940 2.11e-16
3.0   0.366   1.49  3.83e-16
4.0   0.249   2.03  5.09e-16
5.0   0.204   2.18  7.26e-16
6.0   0.174   2.24  9.26e-16
7.0   0.156   2.28  1.07e-15
8.0   0.140   2.32  1.19e-15
9.0   0.121   2.39  1.29e-15
10.0  0.107   2.46  1.40e-15
30.0  0.0705  2.53  5.65e-15 
100.0  0.0463  2.62  3.01e-14
