#Eta/eta_0   s_gamma   delta_gamma   B_gamma[cm3/s]
1.1   0.0768   0.544    2.86e-19
1.2   0.106    0.540    2.24e-18
1.3   0.182    0.750    5.61e-18
1.4   0.201    0.791    1.02e-17
1.5   0.219    0.788    1.60e-17
1.6   0.216    0.831    2.23e-17
1.7   0.233    0.839    3.10e-17
1.8   0.233    0.825    4.07e-17
1.9   0.248    0.805    5.30e-17
2.0   0.244    0.779    6.74e-17
3.0   0.188    1.23     1.51e-16
4.0   0.131    1.82     1.24e-16
5.0   0.120    2.05     1.37e-16
6.0   0.107    2.19     1.62e-16
7.0   0.102    2.23     1.71e-16
8.0   0.0932   2.29     1.78e-16
9.0   0.0838   2.37     1.84e-16
10.0  0.0761   2.43     1.93e-16
20.0  0.107    2.27     4.74e-16
30.0  0.0928   2.33     7.70e-16
40.0  0.0772   2.42     1.06e-15
100.0 0.0479   2.59     2.73e-15
