# the following points are taken with webplotdigitizer from 
# the tau gamma-gamma on Dust Torus in Figure 14 of Finke 2016, r = 1.1 * 10^(16) cm
# E / GeV | tau
1327.2714076864115, 0.0016241516964886186
1327.2714076864115, 0.002644663140322588
1327.2714076864115, 0.0044316928269410045
1327.2714076864115, 0.0066213550281913796
1327.2714076864115, 0.010781784497043184
1327.2714076864115, 0.01755635764065558
1327.2714076864115, 0.028587632565938603
1327.2714076864115, 0.04523415144724854
1327.2714076864115, 0.0736563544371769
1344.0036100598018, 0.11654993336397672
1327.2714076864115, 0.18977641945206294
1327.2714076864115, 0.3002828331031241
1327.2714076864115, 0.4617035830448046
1327.2714076864115, 0.7961924392910442
1327.2714076864115, 1.296468058586488
1327.2714076864115, 1.9934004943497943
1395.4764909087953, 3.065360206157332
1467.1864589274837, 4.992056600390875
1562.027919597736, 7.90015339024384
1932.7720255587572, 17.64494783637383
2332.3357933272646, 24.201058139718455
2779.462551158088, 28.757901892901796
3396.346330860898, 33.208681369971686
4418.415910829455, 34.19729598573392
6434.095257593717, 33.261578165695525
9850.79234689015, 29.688045077727026
14344.719374950895, 24.31081893533192
17528.437285850185, 21.68674525762864
21962.194555680246, 19.34711771494835
26172.516617634377, 17.257741389691954
31981.33781175119, 14.95971190811578
39572.042398842415, 13.34539930299996
47752.80771936983, 11.567973702340659
58351.235284106326, 10.319343807254755
72200.78066399822, 8.945505944164237
