# the following points are taken with webplotdigitizer from 
# the tau gamma-gamma on BLR (only Lyman alpha considerd) in Figure 14 of Finke 2016, r = 1.1 * 10^(16) cm
# E / GeV | tau
27.332450347532543, 0.0016084532013483962
27.353173585780993, 0.0026191056753061344
27.375132964040066, 0.004388874658836731
27.393445912064475, 0.006748179742046502
27.412993226465854, 0.010677649719846739
27.432554489367934, 0.01689525292714958
27.453353625750452, 0.02751118452817531
27.4741685318665, 0.044797510721315034
27.49622504597638, 0.0750678605439487
27.51461900010971, 0.11542170947659626
27.535480357126904, 0.18794557037174808
27.556357531052797, 0.3060389382772419
27.57725053387964, 0.498334871934498
27.598159377608766, 0.8114576726213919
27.620315432705137, 1.3597717914418932
27.985973547768562, 2.031690174528463
29.085007049589677, 3.7107781411433614
29.46874201010372, 5.387668652150001
31.00518009573395, 8.525976274058037
32.62172482419833, 13.492342628901678
34.753691135705466, 20.748590141825886
38.444699328243495, 32.83870686559855
42.52202263211692, 47.68884556376121
48.83518916619798, 71.2760782636915
56.78257770539572, 94.98654238590332
69.40062689652098, 109.68740313532572
84.80749493224036, 112.93516041823115
106.25934871018107, 112.99861854499635
131.474032874946, 109.86212054064688
158.64682500602188, 106.80601560613069
193.84033008457354, 100.90238688376999
242.8392983237057, 92.63576834456316
296.7096867068511, 87.51539024962828
362.5142799260938, 80.34051202028687
442.8735958687322, 69.64238379523297
541.0945779577971, 63.93280949171257
669.4034268415134, 57.03375166539386
807.6463701099336, 50.87600298678063
986.6790687358208, 44.10136351979087
1236.0367456188505, 39.343566039382914
1491.232410721169, 34.10351950217039
1844.763602580699, 29.56322352869956
2225.638747422303, 25.6257902282882
2719.122072649629, 22.85977039183797
3321.8756793963735, 19.81576745113702
4058.062044543051, 16.691461523343516
4895.90108626598, 14.4683779556552
7306.722479235013, 10.564339440532494
9152.491941463557, 8.899240066748103
10769.393217829756, 7.937922593247388
13156.667650932164, 6.880910239110668
16275.03493168819, 5.796194022594967
19390.77486955921, 5.0240602724008285
23393.206494892052, 4.231796316782171
28578.828622709116, 3.6682910753939177
34912.40218008105, 3.089920160414923
42116.7606005219, 2.5290744204067663
51450.57916891731, 2.130321143603737
61300.42741907797, 1.846532704618353
77750.21539541153, 1.5115606191136273
97386.55015669721, 1.2373158604326866
